NFE	BestRunningMin
302	23.0708816
303	23.0708777
304	23.070872400000003
305	23.0708662
306	23.070847000000004
307	23.070822800000002
308	23.070822800000002
309	23.070814300000002
310	23.070813899999997
311	23.0708134
312	23.070809399999998
313	23.070809
314	23.0708062
315	23.0708062
316	23.0707896
317	23.0707774
318	23.0707709
319	23.0707709
320	23.0707342
321	23.0707154
322	23.0707154
323	23.0707154
324	23.070679199999997
325	23.0706771
326	23.0706681
327	23.0706681
328	23.0706681
329	23.0706681
330	23.0706681
331	23.0706681
332	23.0706681
333	23.0706681
334	23.0706681
335	23.0706681
336	23.0706681
337	23.0706681
338	23.0706681
339	23.0706681
340	23.0706681
341	23.070667200000003
342	23.070667200000003
343	23.070666800000005
344	23.070664
345	23.0706475
346	23.070647
347	23.070647
348	23.070647
349	23.070647
350	23.070647
351	23.070647
352	23.0706378
353	23.0706294
354	23.0706013
355	23.0705908
356	23.0705221
357	23.070510600000002
358	23.0705072
359	23.070491600000004
360	23.070491600000004
361	23.070474100000002
362	23.0704584
363	23.0704561
364	23.0704561
365	23.0704561
366	23.0704452
367	23.0704452
368	23.070438900000006
369	23.070436800000003
370	23.070432000000004
371	23.0704303
372	23.0704303
373	23.0704263
374	23.0704168
375	23.0703986
376	23.0703986
377	23.0703986
378	23.0703969
379	23.0703877
380	23.0703812
381	23.0703702
382	23.0703675
383	23.0703327
384	23.070317199999998
385	23.0703131
386	23.0703064
387	23.0702945
388	23.070288700000003
389	23.0702782
390	23.070273
391	23.0702632
392	23.0702632
393	23.070262000000003
394	23.070259900000003
395	23.070259800000002
396	23.0702498
397	23.0702404
398	23.0702016
399	23.0700888
400	23.0700843
401	23.070084100000003
402	23.0700782
403	23.070064500000004
404	23.0700549
405	23.0700549
406	23.0700526
407	23.0700246
408	23.0700246
409	23.0700246
410	23.0700246
411	23.0700246
412	23.0700246
413	23.0700246
414	23.0700246
415	23.0700246
416	23.0700246
417	23.0700246
418	23.0700246
419	23.0700246
420	23.0700246
421	23.0700246
422	23.0700246
423	23.0700246
424	23.0700246
425	23.0700246
426	23.0700246
427	23.0700246
428	23.0700246
429	23.0700246
430	23.0700246
431	23.0700246
432	23.0700246
433	23.0700246
434	23.0700246
435	23.0700246
436	23.0700246
437	23.0700246
438	23.0700246
439	23.0700246
440	23.0700246
441	23.0700246
442	23.0700246
443	23.0700246
444	23.0700246
445	23.0700246
446	23.0700246
447	23.0700246
448	23.0700246
449	23.0700246
450	23.0700246
451	23.0700246
452	23.0700246
453	23.0700246
454	23.0700246
455	23.0700246
456	23.0700246
457	23.0700246
458	23.0700246
459	23.0700246
460	23.0700246
461	23.0700246
462	23.0700246
463	23.0700246
464	23.0700246
465	23.0700246
466	23.0700246
467	23.0700246
468	23.0700246
469	23.0700246
470	23.0700246
471	23.0700246
472	23.0700246
473	23.0700246
474	23.0700246
475	23.0700246
476	23.0700246
477	23.0700246
478	23.0700246
479	23.0700246
480	23.0700246
481	23.0700246
482	23.0700246
483	23.0700246
484	23.0700246
485	23.0700246
486	23.0700246
487	23.0700246
488	23.0700246
489	23.0700246
490	23.0700246
491	23.0700246
492	23.0700246
493	23.0700246
494	23.0700246
495	23.0700246
496	23.0700246
497	23.0700246
498	23.0700246
499	
500	
