%eval_id interface cdv_1          cdv_2          cdv_3          cdv_4          cdv_5          cdv_6          cdv_7          cdv_8          cdv_9          cdv_10         obj_fn         	best_so_far	best_so_far	best_so_far
1        NO_ID      0.8479187783   4.945546381    -4.094571296   1.988446425    -2.063400526   -1.734059996   0.04259290805  1.166580101    3.97388397     -1.09520893    4201.865458    
67       NO_ID      -9.55953038e-05 1.497062011    1.348896955    0.449571199    -2.459166719   -2.39737473    4.397963365    -2.106135716   4.103098742    4.905810238    356502.1624    	-1.34968e+07	-1.34968e+07	-1.34968e+07
68       NO_ID      3.666902924    -5.115823444   4.826287865    -0.2517325832  2.441178276    0.7863848855   1.141199055    2.361525803    -2.002574824   -2.684285317   -80596.22538   	-1.34968e+07	-1.34968e+07	-1.34968e+07
69       NO_ID      -1.391393113   2.531854941    2.313694818    -4.461314584   2.917562962    -5.034261559   -4.640078401   -2.254516016   1.331986031    4.053494834    1304.064941    	-1.34968e+07	-1.34968e+07	-1.34968e+07
70       NO_ID      -4.233664202   -4.386133164   -3.73343119    -0.6229676616  3.384753695    -0.2081794909  4.901221642    4.123859272    3.930217825    0.3575290718   311.269414     	-1.34968e+07	-1.34968e+07	-1.34968e+07
71       NO_ID      0.6724859269   4.572942213    -0.2039240634  -4.329333519   -4.25518132    3.568017321    1.073204694    0.6280471774   4.335495578    -2.192699959   154.981556     	-1.34968e+07	-1.34968e+07	-1.34968e+07
72       NO_ID      4.26232955     -3.169988272   0.1944743307   -2.991873862   -0.4093816492  3.09400483     -4.286824362   -3.70972025    -5.019550917   -4.483340982   946.480873     	-1.34968e+07	-1.34968e+07	-1.34968e+07
73       NO_ID      -0.1536675583  3.554436995    -2.119838225   0.5932106541   1.541786666    -1.053737348   -1.926575983   -4.915727465   1.899639254    -1.276231305   -6552.410126   	-1.34968e+07	-1.34968e+07	-1.34968e+07
74       NO_ID      1.104141491    4.41542805     4.352520958    1.199592548    3.883786129    4.866237688    3.066274693    -1.40042047    -3.107194443   -3.656743959   27107.27642    	-1.34968e+07	-1.34968e+07	-1.34968e+07
75       NO_ID      0.08622419297  3.085300955    3.213281877    -2.526087305   -3.401998798   2.237940795    -3.795741991   -2.914400363   0.2320271025   5.07203603     7688.874886    	-1.34968e+07	-1.34968e+07	-1.34968e+07
76       NO_ID      -4.432079212   3.772305045    -1.195603238   4.799379639    5.12           -3.324158375   3.626118317    4.841783293    3.193097199    0.866167014    -459210.7658   	-1.34968e+07	-1.34968e+07	-1.34968e+07
77       NO_ID      4.146709717    4.667064751    4.664969849    -5.12          1.471828903    4.484897481    -1.803185656   -3.073547228   3.55068212     2.838358003    4009.922225    	-1.34968e+07	-1.34968e+07	-1.34968e+07
78       NO_ID      -4.989110281   -1.269589646   -3.310040771   3.797435642    -2.51581763    -3.160656706   1.164503296    4.628055363    4.566214869    -3.32695635    -12826.65645   	-1.34968e+07	-1.34968e+07	-1.34968e+07
79       NO_ID      2.094029211    4.172868558    4.204593679    -1.863389938   0.9602482151   -3.66872381    -5.055469031   -4.871555208   4.822346033    -0.5412565871  -91480.70279   	-1.34968e+07	-1.34968e+07	-1.34968e+07
80       NO_ID      3.663928457    1.462598265    3.679411636    2.320552722    -1.872769748   -3.29164142    5.085095668    4.778853818    -3.17638842    -2.595779186   21571.86037    	-1.34968e+07	-1.34968e+07	-1.34968e+07
81       NO_ID      1.040324655    2.551678867    1.999193673    -2.219554109   -2.093435491   -2.616004107   1.576968425    0.2420154054   -0.4801220595  2.196759263    0.196387       	-1.34968e+07	-1.34968e+07	-1.34968e+07
82       NO_ID      0.9410847092   -2.211498316   -4.948271138   -5.12          4.444803139    -2.45364919    3.19126719     0.7464393993   -3.834016243   1.12608759     -4091.837967   	-1.34968e+07	-1.34968e+07	-1.34968e+07
83       NO_ID      4.698981687    2.373477085    -2.448623884   -4.685622782   -1.885905707   -3.955217637   -1.87786318    -3.287992768   4.609217326    -1.28463426    36846.32191    	-1.34968e+07	-1.34968e+07	-1.34968e+07
84       NO_ID      -4.553181577   -3.945828503   -1.315754571   -0.6004321158  4.045435393    -2.222407898   3.237372454    -1.78640482    -4.624830026   1.046335465    7016.821593    	-1.34968e+07	-1.34968e+07	-1.34968e+07
85       NO_ID      -2.177384407   1.029966097    4.901336002    4.115376527    -3.748371419   -1.386381735   2.283792255    4.540919404    1.494846179    4.79134676     -47374.13411   	-1.34968e+07	-1.34968e+07	-1.34968e+07
86       NO_ID      -0.8858422536  1.350370224    2.188355284    -3.68626918    0.2106196278   5.12           0.7400454021   -4.800051732   3.838667567    4.625790335    -41489.72848   	-1.34968e+07	-1.34968e+07	-1.34968e+07
87       NO_ID      -4.102481225   -2.472956837   -1.223040266   -5.032475584   -5.029965611   5.12           1.337928095    -3.869969926   0.71618639     2.572207923    -6635.230153   	-1.34968e+07	-1.34968e+07	-1.34968e+07
88       NO_ID      -3.553011354   1.812551841    4.95779331     -1.223557707   -0.7892050893  -4.420621242   -1.869448659   -4.308148971   4.544435285    4.837488917    1857363.798    	-1.34968e+07	-1.34968e+07	-1.34968e+07
89       NO_ID      -1.57154511    -0.02859748993 4.929372132    -4.499681363   3.695383777    -0.7850577702  -1.290353372   4.771661086    3.014795227    -3.923575249   -1542762.325   	-1.34968e+07	-1.34968e+07	-1.34968e+07
90       NO_ID      -1.325533883   4.982777261    -4.334029308   -3.195974929   -1.140634188   2.379468425    -4.737584212   -2.257391817   2.077974396    5.010007248    -1883.260304   	-1.34968e+07	-1.34968e+07	-1.34968e+07
91       NO_ID      -3.768368819   -3.290981467   -1.051232382   4.925529439    2.284030469    0.9506067585   -3.306032381   -2.447099206   1.090204087    3.575862177    18.404672      	-1.34968e+07	-1.34968e+07	-1.34968e+07
92       NO_ID      2.449982639    1.43592191     2.482508163    -0.5513156098  -0.4214036919  1.703535495    -1.039979614   -1.222763884   2.556531726    -0.9656810019  3256.17161     	-1.34968e+07	-1.34968e+07	-1.34968e+07
93       NO_ID      -0.6943628354  -4.902041876   3.269288444    2.695493944    -0.9090977694  3.553769431    -1.461246986   5.12           -3.648703323   4.788539024    986458.4206    	-1.34968e+07	-1.34968e+07	-1.34968e+07
94       NO_ID      -3.992014457   1.539458268    0.7675852529   -2.883557905   -2.947362631   -2.995564396   1.224692226    -5.095171241   0.6079526107   1.579230985    -145.712979    	-1.34968e+07	-1.34968e+07	-1.34968e+07
95       NO_ID      3.819536398    1.038834541    -4.299685832   4.16692075     -4.227624497   4.430799191    0.916200413    -1.78290453    3.930912894    0.09872847596  23.099138      	-1.34968e+07	-1.34968e+07	-1.34968e+07
96       NO_ID      -0.6434628988  0.3681385143   -4.320257586   -2.047553259   -2.365078381   -1.130582517   0.8444357326   -4.278165363   4.026807822    3.737690144    3821.733787    	-1.34968e+07	-1.34968e+07	-1.34968e+07
97       NO_ID      3.928569372    3.970867233    -1.00063616    -4.264298665   -1.542717356   3.245301355    0.3570041945   4.879887113    0.09869204951  1.815486986    -16057.06028   	-1.34968e+07	-1.34968e+07	-1.34968e+07
98       NO_ID      -4.437799989   4.890383277    4.776835066    -4.131149131   1.142171295    0.3767658851   4.162832481    -3.322027093   4.154877218    -1.727109645   -136907.1378   	-1.34968e+07	-1.34968e+07	-1.34968e+07
99       NO_ID      -3.263566679   4.482487931    -2.050870234   2.036278717    -3.33056661    4.348771888    -1.022931751   0.1373296896   0.973168206    -3.282676032   1.988977       	-1.34968e+07	-1.34968e+07	-1.34968e+07
100      NO_ID      2.439406446    4.986914351    0.4118307546   -1.763905193   -2.154588102   -4.238673314   3.718590238    -1.846202478   5.054214336    -0.01884395414 1420.177391    	-1.34968e+07	-1.34968e+07	-1.34968e+07
101      NO_ID      1.03221507     -2.887922424   -2.162458429   4.266466616    -5.12          -3.619315486   -0.373273592   -3.777903346   -0.4180805708  -1.024681253   9968.3302      	-1.34968e+07	-1.34968e+07	-1.34968e+07
102      NO_ID      1.879680535    2.106417561    0.3564598529   -3.657323009   -1.646971897   -2.732664226   -4.169182349   -4.626684461   -0.7658954662  0.7267899314   2620.378939    	-1.34968e+07	-1.34968e+07	-1.34968e+07
103      NO_ID      4.107931471    3.334792475    -4.680761671   -2.216725912   4.825728184    4.012991676    4.836058408    5.084221523    4.180884981    -2.678266978   -83488.60157   	-1.34968e+07	-1.34968e+07	-1.34968e+07
104      NO_ID      -1.673349132   4.311359097    0.09918125482  -0.2346563079  2.873590576    2.042152779    -0.9661186332  -4.962541028   4.557239736    2.710264137    -5899.898228   	-1.34968e+07	-1.34968e+07	-1.34968e+07
105      NO_ID      -3.081116953   1.041342701    -2.902957004   4.092387742    1.887635979    -1.865816106   3.64065041     0.8362588979   -4.975712259   -4.67752774    -4410.164541   	-1.34968e+07	-1.34968e+07	-1.34968e+07
106      NO_ID      0.2518087562   4.903367827    0.03067663785  -3.723315543   -4.838258809   0.7020418083   -3.74336106    -4.933159745   4.398723133    -3.236591129   204.629402     	-1.34968e+07	-1.34968e+07	-1.34968e+07
107      NO_ID      2.716895011    4.742101716    -1.176127065   4.989350116    3.213937554    -0.2176097001  -1.243186158   -4.145406237   -5.035866143   -5.12          1234734.383    	-1.34968e+07	-1.34968e+07	-1.34968e+07
108      NO_ID      -2.214292941   4.626179167    -0.422805879   0.5356970543   -5.12          2.747762933    -2.184082385   -3.909892046   3.843144068    1.629361911    -2673.575488   	-1.34968e+07	-1.34968e+07	-1.34968e+07
109      NO_ID      0.1834536007   3.612110421    -0.2644551479  2.849381303    -4.563933036   3.246572422    4.638581333    3.649223877    -1.885647037   -3.576697503   -77723.49298   	-1.34968e+07	-1.34968e+07	-1.34968e+07
110      NO_ID      2.081228666    2.851517442    -1.459348947   0.7311902113   -2.252660489   -4.760252509   -1.871746371   -2.170606681   3.528466421    2.601825959    61.040551      	-1.34968e+07	-1.34968e+07	-1.34968e+07
111      NO_ID      -5.105457569   -3.239926324   1.310560553    -4.059603455   -2.357963196   -1.578963576   -1.869301361   5.089747111    -3.870514208   4.663701328    42748.6892     	-1.34968e+07	-1.34968e+07	-1.34968e+07
112      NO_ID      -2.227513401   3.143173688    -2.991754825   -3.121075157   0.3078547094   -3.351979283   -1.342958408   -1.084490887   3.29115765     0.6489897015   -50717.32807   	-1.34968e+07	-1.34968e+07	-1.34968e+07
113      NO_ID      -3.689622564   -2.352286904   2.915304228    3.071246812    -3.577183814   2.524280634    -1.2140838     4.893521767    1.819933845    -0.5931087806  -4292.994164   	-1.34968e+07	-1.34968e+07	-1.34968e+07
114      NO_ID      -2.803246864   2.649432549    -1.719499387   -4.701795883   -2.344591728   2.735167161    -0.2530040008  -3.907790055   1.726642473    0.1669540459   -311.206685    	-1.34968e+07	-1.34968e+07	-1.34968e+07
115      NO_ID      3.695036168    -3.769760488   -0.8678268935  0.8799403173   -2.75715983    -1.033848932   -3.001945629   2.149637897    -3.133767135   2.520908872    784.217645     	-1.34968e+07	-1.34968e+07	-1.34968e+07
116      NO_ID      -1.409133549   4.358077656    0.3470994799   -3.15718232    0.6278555107   0.3305347067   -3.249524826   0.9504523063   0.168647435    3.34447639     -15268.08298   	-1.34968e+07	-1.34968e+07	-1.34968e+07
117      NO_ID      0.7111551936   -2.113262037   -2.867280138   4.897009592    2.008076589    2.142911336    4.392243524    1.194615641    -0.9495767816  4.947943176    563639.8458    	-1.34968e+07	-1.34968e+07	-1.34968e+07
118      NO_ID      1.911765462    1.991048318    -0.867805581   -4.968647511   -1.68356074    2.543138549    3.455308803    -0.4266576726  3.165641359    3.783656523    -1619.106618   	-1.34968e+07	-1.34968e+07	-1.34968e+07
119      NO_ID      5.110082963    -1.195601172   -2.197465527   0.6267073465   4.52337824     3.495675309    5.08140555     3.613863294    -4.125950236   -2.297495706   -67.349247     	-1.34968e+07	-1.34968e+07	-1.34968e+07
120      NO_ID      -1.482759545   -0.4356814516  4.002447548    -3.177449398   -3.359191573   0.4625250603   0.9612621917   -1.939226209   5.12           2.073280671    -690.144733    	-1.34968e+07	-1.34968e+07	-1.34968e+07
121      NO_ID      3.0363841      -4.901367389   2.724661311    4.266534797    3.327684019    4.672746993    4.094102735    -3.688534548   -1.122803846   0.4564902761   131.993006     	-1.34968e+07	-1.34968e+07	-1.34968e+07
122      NO_ID      0.08851500155  2.941316378    2.976040943    -3.041484576   0.8924822371   0.5141777948   2.083514023    1.253953398    4.486423642    1.46155432     66.574363      	-1.34968e+07	-1.34968e+07	-1.34968e+07
123      NO_ID      4.508887676    -3.826640677   5.12           3.994982054    -3.595699584   4.600588441    -3.639132624   -2.239007569   2.423802885    4.034800906    5.014834       	-1.34968e+07	-1.34968e+07	-1.34968e+07
124      NO_ID      -4.288736494   1.941904674    0.9495744149   -4.379794713   0.8180941402   0.6415658007   -2.36023518    -4.789930737   3.331261968    3.391046142    -1229.768727   	-1.34968e+07	-1.34968e+07	-1.34968e+07
